code,industry,update_date
sz001208,电网设备,2025-12-12
sz001296,非金属材料,2025-12-12
sz001331,燃气,2025-12-12
sz002255,其他电源设备,2025-12-12
sz002256,电力,2025-12-12
sz002300,电网设备,2025-12-12
sz002309,电网设备,2025-12-12
sz002347,通用设备,2025-12-12
sz002374,包装印刷,2025-12-12
sz002438,通用设备,2025-12-12
sz002451,电网设备,2025-12-12
sz002471,电网设备,2025-12-12
sz002478,钢铁,2025-12-12
sz002565,包装印刷,2025-12-12
sz002584,电子化学品,2025-12-12
sz002639,通用设备,2025-12-12
sz002862,家居用品,2025-12-12
sz002865,光伏设备,2025-12-12
sz002927,电网设备,2025-12-12
sz002989,建筑装饰,2025-12-12
sz003033,汽车服务及其他,2025-12-12
sh600151,光伏设备,2025-12-12
sh600192,电网设备,2025-12-12
sh600493,纺织制造,2025-12-12
sh600550,电网设备,2025-12-12
sh600730,教育,2025-12-12
sh600776,通信设备,2025-12-12
sh600855,军工电子,2025-12-12
sh600865,零售,2025-12-12
sh600868,电力,2025-12-12
sh600875,其他电源设备,2025-12-12
sh600936,IT服务,2025-12-12
sh600990,军工电子,2025-12-12
sh601106,专用设备,2025-12-12
sh601133,建筑装饰,2025-12-12
sh601179,电网设备,2025-12-12
sh601399,专用设备,2025-12-12
sh601566,服装家纺,2025-12-12
sh601611,建筑装饰,2025-12-12
sh601619,电力,2025-12-12
sh601700,电网设备,2025-12-12
sh603031,电池,2025-12-12
sh603127,医疗服务,2025-12-12
sh603163,建筑装饰,2025-12-12
sh603315,环境治理,2025-12-12
sh603408,家居用品,2025-12-12
sh603601,建筑材料,2025-12-12
sh603610,家居用品,2025-12-12
sh603698,专用设备,2025-12-12
sh603709,家居用品,2025-12-12
sh603929,建筑装饰,2025-12-12
sh603992,家居用品,2025-12-12
sh605060,通用设备,2025-12-12
sz001201,养殖业,2025-12-12
sz001202,物流,2025-12-12
sz001203,钢铁,2025-12-12
sz001205,港口航运,2025-12-12
sz001206,美容护理,2025-12-12
sz001207,橡胶制品,2025-12-12
sz001209,服装家纺,2025-12-12
sz001210,电力,2025-12-12
sz001211,家居用品,2025-12-12
sz001213,公路铁路运输,2025-12-12
sz001216,家居用品,2025-12-12
sz001217,化学原料,2025-12-12
sz001218,化学制品,2025-12-12
sz001219,食品加工制造,2025-12-12
sz001222,家居用品,2025-12-12
sz001227,银行,2025-12-12
sz001228,物流,2025-12-12
sz001230,环境治理,2025-12-12
sz001231,农化制品,2025-12-12
sz001234,服装家纺,2025-12-12
sz001236,多元金融,2025-12-12
sz001239,工程机械,2025-12-12
sz001256,专用设备,2025-12-12
sz001258,电力,2025-12-12
sz001259,小家电,2025-12-12
sz001260,汽车零部件,2025-12-12
sz001266,自动化设备,2025-12-12
sz001267,建筑装饰,2025-12-12
sz001269,光伏设备,2025-12-12
sz001278,汽车零部件,2025-12-12
sz001282,汽车零部件,2025-12-12
sz001286,电力,2025-12-12
sz001287,其他电子,2025-12-12
sz001289,电力,2025-12-12
sz001299,燃气,2025-12-12
sz001300,家居用品,2025-12-12
